tree,female,male
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,4,2
20,6,4
21,5,3
22,11,10
23,18,0
24,12,0
25,7,24
26,7,24
27,7,24
28,7,24
29,7,24
30,7,24
31,22,19
32,6,0
33,8,9
34,20,23
35,20,23
36,0,0
37,0,0
38,23,13
39,23,13
40,23,13
41,23,13
42,23,13
43,23,13
44,23,13
45,23,13
46,23,13
47,23,13
48,0,0
49,6,7
50,6,7
51,6,7
52,6,7
53,6,7
54,6,7
55,6,7
56,6,7
57,6,7
58,6,7
59,6,7
60,6,7
61,6,7
62,6,7
63,6,7
64,6,7
65,6,7
66,6,7
67,6,7
68,6,7
69,6,7
70,6,7
71,6,7
72,6,7
73,6,7
74,6,7
75,6,7
76,6,7
77,6,7
78,6,7
79,16,21
80,16,21
81,16,21
82,16,21
83,16,21
84,16,21
85,16,21
86,16,21
87,16,21
88,16,21
89,16,21
90,16,21
91,16,21
92,16,21
93,16,21
94,16,21
95,16,21
96,16,21
97,16,21
98,16,21
99,16,21
100,16,21
101,16,21
102,16,21
103,16,21
104,16,21
105,16,21
106,16,21
107,16,21
108,16,21
109,16,21
110,16,21
111,16,21
112,16,21
113,16,21
114,16,21
115,16,21
116,16,21
117,16,21
118,16,21
119,16,21
120,16,21
121,16,21
122,16,21
123,16,21
124,16,21
125,16,21
126,16,21
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,15,6
137,15,6
138,15,6
139,15,6
140,15,6
141,17,9
142,17,9
143,17,9
144,17,9
145,24,1
146,24,1
147,24,1
148,24,1
149,24,1
150,24,1
151,24,1
152,24,1
153,24,1
154,24,1
155,24,1
156,24,1
157,17,15
158,17,15
159,17,15
160,17,15
161,17,15
162,17,15
163,8,14
164,0,0
filler,0,0
